name,description,social_links
Dargaud,"Éditeur majeur de BD francophone fondé en 1936, connu pour Astérix, Blake et Mortimer, Lucky Luke.",https://www.dargaud.com
Dupuis,"Fondé en 1938, édite Spirou, Gaston Lagaffe, Les Tuniques Bleues. Très influent dans le monde francophone.",https://www.dupuis.com
Delcourt,"Créé en 1986, publie de la BD franco-belge, des mangas et comics. Séries phares : Lanfeust, Walking Dead.",https://www.editions-delcourt.fr
Glénat,"Maison fondée en 1969, spécialisée dans la BD, les mangas et les ouvrages jeunesse. A édité Dragon Ball et One Piece.",https://www.glenat.com
Le Lombard,"Maison belge historique fondée en 1946. Séries phares : Thorgal, Largo Winch, Yakari.",https://www.lelombard.com
Casterman,"Maison fondée en 1780 (!), éditrice de Tintin, Corto Maltese, Boule & Bill. Acteur historique incontournable.",https://www.casterman.com
Soleil,"Maison française fondée en 1989, célèbre pour ses séries d’heroic fantasy comme Lanfeust de Troy et Trolls de Troy.",https://www.soleilprod.com
Vents d’Ouest,"Créé en 1984, édité aujourd’hui par Glénat. BD d’auteur, humour, chroniques sociales.",https://www.glenat.com/vents-douest
Presses Aventure,"Maison d'édition québécoise fondée en 1996, spécialisée dans la bande dessinée jeunesse.",https://www.pressesaventure.com
Atrabile,"Éditeur suisse indépendant basé à Genève depuis 1997, reconnu pour ses BD d'auteur.",https://www.atrabile.org
Rackham,"Maison d'édition française fondée en 1989 à Paris, spécialisée dans la BD alternative et d'auteur.",https://www.editions-rackham.com
Bamboo Édition,"Éditeur français créé en 1997, basé à Charnay-lès-Mâcon, spécialisé dans la BD d'humour thématique.",https://www.bamboo.fr
Steinkis Groupe,"Groupe d'édition indépendant français fondé en 2002, regroupant plusieurs labels tels que Jungle, Steinkis, Splash.",https://steinkis-groupe.com
Les Éditions du Delf,Maison d'édition indépendante spécialisée dans la bande dessinée et la littérature francophone contemporaine.,https://leseditionsdudelf.com
